offset_img,pause_trigger_t,word_score_warriner,age,onset_word,key_t,ID,session,word_score_pc,condition,word_trigger,onset_img,offset_word,gender,duration_measured_img,pause_trigger,duration_frames,delay_frames_after,word,scan day,rt,word_label,correct_resp,no,delay_frames_before,response,duration_measured_word,img,img_trigger
455.6952201030217,452.96857943898067,4.16,23,451.27805387298577,455.71428345202,1,4,-0.10198134801944247,faceWord_exp,12,454.9962325840024,451.97036964900326,female,0.6989875190192834,32,42,336,saw,Monday,0.718050868017599,neg,0,46,180,b,0.6923157760174945,image_stim_n.png,22
465.7045610100031,462.9783433320117,2.62,23,461.28541865799343,465.6240448890021,1,4,4.2176174504439885,faceWord_exp,12,465.00346872699447,461.98010610201163,female,0.7010922830086201,32,42,336,insult,Monday,0.6205761620076373,neg,1,47,180,y,0.6946874440182,image_stim_n.png,22
478.3081341229845,472.98815600399394,5.43,23,471.2949877550127,478.2603095509694,1,4,0.37753019343780747,faceWord_exp,13,477.60778694902547,471.98987736797426,female,0.7003471739590168,41,42,180,door,Monday,0.6525226019439287,neu,1,48,336,b,0.6948896129615605,image_stim_p.png,21
488.3180362600251,482.9978577949805,3.36,23,481.3057446680032,488.27083032700466,1,4,-0.3663992490442602,faceWord_exp,12,487.614229445986,481.99974754301365,female,0.703806814039126,32,42,180,expensive,Monday,0.6566008810186759,neg,1,49,336,y,0.694002875010483,image_stim_n.png,22
495.7173222429701,493.00741445698077,3.17,23,491.31439772999147,495.7224529630039,1,4,3.1835494020570807,faceWord_exp,12,495.0299946250161,492.00932114897296,female,0.6873276179539971,32,42,336,explosion,Monday,0.6924583379877731,neg,1,50,180,y,0.6949234189814888,image_stim_n.png,22
505.72690098098246,503.00060629000654,7.24,23,501.30789497098885,505.72982020000927,1,4,-2.1205664047688315,faceWord_exp,11,505.0266507610213,502.0024048759951,female,0.7002502199611627,31,42,336,trust,Monday,0.7031694389879704,pos,1,51,180,b,0.6945099050062709,image_stim_p.png,21
515.7364632770186,513.0104720899835,6.52,23,511.31659159698756,515.7410485019791,1,4,-1.5215329943370883,faceWord_exp,11,515.0338862150093,512.0121098600212,female,0.7025770620093681,31,42,336,bread,Monday,0.7071622869698331,pos,1,52,180,b,0.6955182630335912,image_stim_p.png,21
528.3403604310006,523.0200279839919,5.1,23,521.3271639809827,528.243416089972,1,4,0.12602488928311428,faceWord_exp,13,527.636654314003,522.0218751860084,female,0.7037061169976369,42,42,180,shoulder,Monday,0.606761775969062,neu,1,53,336,y,0.6947112050256692,image_stim_n.png,22
538.3501692379941,533.0298825199716,6.17,23,531.3367434120155,538.5023410660215,1,4,-1.5082836116280287,faceWord_exp,11,537.6481014820165,532.0317499280209,female,0.7020677559776232,31,42,180,kitchen,Monday,0.8542395840049721,pos,1,54,336,b,0.6950065160053782,image_stim_p.png,21
545.7659526150092,543.0396378369769,4.75,23,541.3493953599827,545.9010970990057,1,4,0.42679466080263373,faceWord_exp,12,545.0682441589888,542.0414947560057,female,0.6977084560203366,32,42,336,zone,Monday,0.8328529400168918,neg,1,55,180,y,0.692099396022968,image_stim_n.png,22
555.758960495994,553.0494622080005,5.9,23,551.3563089700183,555.6968910599826,1,4,-0.29144085929118746,faceWord_exp,13,555.0718401129707,552.0512139669736,female,0.6871203830232844,42,42,336,hand,Monday,0.6250509470119141,neu,1,56,180,y,0.6949049969553016,image_stim_n.png,22
568.3629292299738,563.0423840829753,6.68,23,561.3492348800064,568.5483975299867,1,4,-2.303583541830637,faceWord_exp,11,567.6602614889853,562.044290788006,female,0.7026677409885451,31,42,180,wonder,Monday,0.8881360410014167,pos,1,57,336,b,0.695055907999631,image_stim_p.png,21
578.3722871720092,573.0522061610245,5.89,23,571.3604897990008,578.1913621249842,1,4,0.29188517290671034,faceWord_exp,13,577.6721751469886,572.0540343750035,female,0.7001120250206441,42,42,180,guard,Monday,0.5191869779955596,neu,1,58,336,y,0.6935445760027505,image_stim_n.png,22
588.3821620140225,583.0619523299974,7.27,23,581.3724739489844,588.251976754982,1,4,-2.066768843681998,faceWord_exp,11,587.6807466599857,582.0636565189925,female,0.7014153540367261,31,42,180,honey,Monday,0.571230094996281,pos,1,59,336,b,0.6911825700080954,image_stim_p.png,21
595.7979469220154,593.0717265509884,3.4,23,591.3786110510118,595.7338218140067,1,4,3.4698173961771306,faceWord_exp,12,595.095307081996,592.0735296920175,female,0.7026398400194012,32,42,336,animosity,Monday,0.6385147320106626,neg,1,60,180,y,0.6949186410056427,image_stim_n.png,22
