word_trigger,delay_frames_before,ID,offset_img,age,condition,word_score_pc,session,onset_word,scan day,response,no,word_label,pause_trigger_t,key_t,img_trigger,correct_resp,word_score_warriner,duration_measured_img,rt,duration_frames,gender,img,duration_measured_word,onset_img,delay_frames_after,offset_word,pause_trigger,word
13,336,2019102101,458.0000599899795,25,faceWord_exp,0.5990623206044929,3,451.00370077369735,Monday,b,46,neu,452.7001423720503,457.7504524914548,21,1,5.61,0.6850191164994612,0.4354116179747507,42,male,image_stim_p.png,0.6960585605120286,457.31504087348003,180,451.6997593342094,41,witness
11,336,2019102101,468.0005110378843,25,faceWord_exp,-1.9950971558262764,3,461.00357598171104,Monday,b,47,pos,462.70054433715995,467.9176677297801,21,1,7.0,0.6851676480146125,0.6023243399104103,42,male,image_stim_p.png,0.6966433827765286,467.31534338986967,180,461.70021936448757,31,park
13,336,2019102101,478.00100186513737,25,faceWord_exp,-1.7878104403788575,3,471.00307777593844,Monday,b,48,neu,472.7010682070395,477.8179948197212,21,1,5.4,0.6850309862056747,0.5020239407895133,42,male,image_stim_p.png,0.6976292078616098,477.3159708789317,180,471.70070698380005,41,harp
12,180,2019102101,485.4013125941856,25,faceWord_exp,1.7592404876513306,3,481.00359940028284,Monday,y,49,neg,482.7016164578963,485.36831777123734,22,1,4.32,0.6851878585293889,0.6521930355811492,42,male,image_stim_n.png,0.6975964860757813,484.7161247356562,336,481.7011958863586,32,cold
12,336,2019102101,498.00189112871885,25,faceWord_exp,1.8802224749820768,3,491.00410819251556,Monday,y,50,neg,492.7020222726278,497.8688974607503,22,1,3.95,0.6850297030759975,0.5520360351074487,42,male,image_stim_n.png,0.697486771736294,497.31686142564286,180,491.70159496425185,32,dusty
11,180,2019102101,505.4022175769787,25,faceWord_exp,-1.0841943171680315,3,501.00465002737474,Monday,b,51,pos,502.70244027790613,505.2026638770476,21,1,6.75,0.6847429058980197,0.48518920596688986,42,male,image_stim_p.png,0.6973940598545596,504.7174746710807,336,501.7020440872293,31,bird
12,336,2019102101,518.0027999612503,25,faceWord_exp,3.9847946241932393,3,511.004984944826,Monday,y,52,neg,512.7027870650636,517.9199476707727,22,1,3.23,0.6853463348234072,0.6024940443458036,42,male,image_stim_n.png,0.6975878243101761,517.3174536264269,180,511.70257276913617,32,snub
12,180,2019102101,525.4031591314124,25,faceWord_exp,2.411295736651624,3,521.0056339275325,Monday,y,53,neg,522.7033927395241,525.2867958473507,22,1,3.37,0.6852930816821754,0.5689297976205125,42,male,image_stim_n.png,0.6973263706313446,524.7178660497302,336,521.7029602981638,32,tobacco
11,336,2019102101,538.0037213050527,25,faceWord_exp,-1.6804307003665144,3,531.0059245743323,Monday,b,54,pos,532.7038412209367,537.7874387347838,21,1,6.29,0.684888550080359,0.4686059798114002,42,male,image_stim_p.png,0.6975355335744098,537.3188327549724,180,531.7034601079067,31,flute
11,336,2019102101,548.0042066787137,25,faceWord_exp,-1.9498998207384868,3,541.0067095771665,Monday,b,55,pos,542.7042630757205,547.8212310718372,21,1,7.15,0.6851589863654226,0.5021833794889972,42,male,image_stim_p.png,0.6971720647998154,547.3190476923482,180,541.7038816419663,31,symphony
12,336,2019102101,558.0046352704521,25,faceWord_exp,0.33736940436804663,3,551.006790419342,Monday,y,56,neg,552.7047766799806,557.8383821176831,22,1,4.7,0.6854438587324694,0.5191907059634104,42,male,image_stim_n.png,0.6975496489321813,557.3191914117197,180,551.7043400682742,32,radish
13,180,2019102101,565.4050557137234,25,faceWord_exp,-0.123291752025302,3,561.0074015473947,Monday,b,57,neu,562.7051946852589,565.4056222504005,21,1,5.55,0.6847753069596365,0.6853418436367065,42,male,image_stim_p.png,0.697419082513079,564.7202804067638,336,561.7048206299078,41,faucet
13,336,2019102101,578.0055649550632,25,faceWord_exp,0.30770997164376424,3,571.0079818785889,Monday,b,58,neu,572.7056784548331,577.8225649673259,21,1,5.73,0.6849597682012245,0.5019597804639488,42,male,image_stim_p.png,0.6973228417336941,577.3206051868619,180,571.7053047203226,41,reality
11,336,2019102101,588.0060246646171,25,faceWord_exp,-2.484088237918995,3,581.008829758619,Monday,b,59,pos,582.706098705763,587.7730555699673,21,1,7.23,0.6850361191900447,0.4520670245401561,42,male,image_stim_p.png,0.6968955333577469,587.3209885454271,180,581.7057252919767,31,butterfly
11,180,2019102101,595.4063543208176,25,faceWord_exp,-1.7760144816699572,3,591.0088573476532,Monday,b,60,pos,592.7065609815763,595.3568032192998,21,1,7.18,0.6848535826429725,0.6353024811251089,42,male,image_stim_p.png,0.697335994686,594.7215007381747,336,591.7061933423392,31,island
