no,img_trigger,session,duration_measured_word,duration_frames,offset_img,word_label,pause_trigger,offset_word,word_trigger,correct_resp,duration_measured_img,delay_frames_before,gender,delay_frames_after,age,condition,scan day,ID,img,onset_word,word,key_t,pause_trigger_t,response,word_score_pc,onset_img,rt,word_score_warriner
50,21,4,0.6967399442801252,42,498.0068273114739,pos,31,491.70653050532565,11,1,0.6856077885022387,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,491.0097905610455,harmonica,497.8072023934219,492.706916430383,b,-1.3206920491180312,497.32121952297166,0.48598287045024335,6.32
51,22,4,0.6973148217657581,42,505.4072140705539,neu,42,501.70698764838744,13,1,0.6859228162793443,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,501.0096728266217,theme,505.34092607873026,502.7073992375517,y,-0.7774272008663468,504.72129125427455,0.6196348244557157,5.43
52,21,4,0.6975355336908251,42,515.4076991234906,neu,41,511.70745922764763,13,1,0.6848372218664736,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,511.0099236939568,put,515.3580017361091,512.7079324107617,b,0.3545861367636661,514.7228619016241,0.6351398344850168,5.09
53,21,4,0.697177518508397,42,525.4080856899964,pos,31,521.7079000098165,11,1,0.6850861641578376,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,521.0107224913081,bicycle,525.3751486114925,522.7082875387277,b,-1.301667818567906,524.7229995258385,0.6521490856539458,6.71
54,22,4,0.6971079043578357,42,535.4087539209286,neu,42,531.7083725513658,13,1,0.6831870154710487,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,531.0112646470079,chestnut,535.3256222117925,532.7088082006667,y,-0.4880378396985329,534.7255669054575,0.6000553063349798,5.68
55,21,4,0.6973392026266083,42,548.0090418087784,neu,41,541.708809804637,13,1,0.6853463348234072,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,541.0114706020104,door,548.0596011915477,542.7092124114279,b,0.37753019343780747,547.323695473955,0.7359057175926864,5.43
56,22,4,0.6970629920251667,42,555.4094792546239,neg,32,551.7092801006511,12,1,0.6861172224162146,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,551.0122171086259,expensive,555.1431717580417,552.7097484718543,y,-0.3663992490442602,554.7233620322077,0.41980972583405674,3.36
57,22,4,0.6969061198178679,42,568.0099977992941,neg,32,561.7096871986287,12,1,0.6861323001794517,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,561.0127810788108,accident,567.7103137251688,562.7101404920686,y,3.9974740190684885,567.3238654991146,0.38644822605419904,2.55
58,21,4,0.6969943403964862,42,578.0104706615675,pos,31,571.7101805922575,11,1,0.6850438183173537,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_p.png,571.013186251861,choir,577.9108580623288,572.7106383770006,b,-1.883093263099396,577.3254268432502,0.5854312190786004,6.15
59,22,4,0.6970068517839536,42,588.0110166668892,neu,42,581.7106823269278,13,1,0.686273132218048,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,581.0136754751438,scientist,587.8947018239414,582.7111064273631,y,-0.5273916336755435,587.3247435346711,0.5699582892702892,5.83
60,22,4,0.6970761449774727,42,598.0114057998871,neu,42,591.7111375451786,13,1,0.6850868058390915,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,591.0140614002012,circus,597.9285156547558,592.7114551393315,y,-2.547043884761341,597.326318994048,0.6021966607077047,5.85
